Source,HHMMSS,MJD,Freq,elev,Flux,Flux_err
2230+114,52107.0,54197.223,22000.0,0.0,3.94,1.022
2230+114,90545.0,54199.379,8000.0,0.0,3.533,0.092
2230+114,45804.0,54200.207,5000.0,0.0,4.163,0.103
2230+114,51102.0,54200.216,5000.0,0.0,4.185,0.1
2230+114,55707.0,54218.248,22000.0,0.0,3.075,0.685
2230+114,55707.0,54218.248,22000.0,0.0,3.075,0.685
2230+114,61004.0,54218.257,22000.0,0.0,3.011,0.44
2230+114,61004.0,54218.257,22000.0,0.0,3.011,0.44
2230+114,62428.0,54218.267,22000.0,0.0,2.921,0.363
2230+114,62428.0,54218.267,22000.0,0.0,2.921,0.363
2230+114,91843.0,54220.388,8000.0,0.0,3.444,0.11
2230+114,91843.0,54220.388,8000.0,0.0,3.444,0.11
2230+114,3433.0,54274.024,22000.0,0.0,3.696,0.47
2230+114,5902.0,54274.041,22000.0,0.0,4.353,0.46
2230+114,11326.0,54274.051,22000.0,0.0,3.248,0.51
2230+114,22819.0,54276.103,8000.0,0.0,3.657,0.119
2230+114,11912.0,54277.055,43000.0,0.0,3.978,0.486
2230+114,222204.0,54277.932,43000.0,0.0,6.035,0.913
2230+114,20516.0,54288.087,22000.0,0.0,2.647,0.402
2230+114,21814.0,54288.096,22000.0,0.0,3.052,0.402
2230+114,10155.0,54289.043,8000.0,0.0,3.634,0.076
2230+114,15345.0,54290.079,5000.0,0.0,4.146,0.071
2230+114,20643.0,54290.088,5000.0,0.0,4.116,0.071
2230+114,34857.0,54295.159,22000.0,0.0,3.433,0.483
2230+114,40155.0,54295.168,22000.0,0.0,3.88,0.613
2230+114,24409.0,54296.114,8000.0,0.0,3.678,0.121
2230+114,31550.0,54297.136,5000.0,0.0,4.266,0.121
2230+114,32848.0,54297.145,5000.0,0.0,4.342,0.123
2230+114,192204.0,54320.807,43000.0,0.0,3.214,0.526
2230+114,222204.0,54320.932,43000.0,0.0,2.837,0.337
2230+114,192204.0,54321.807,43000.0,0.0,3.736,0.558
2230+114,222204.0,54321.932,43000.0,0.0,2.902,0.364
2230+114,192204.0,54322.807,43000.0,0.0,3.763,0.548
2230+114,233657.0,54322.984,22000.0,0.0,3.885,0.389
2230+114,235121.0,54322.994,22000.0,0.0,3.975,1.007
2230+114,419.0,54323.003,22000.0,0.0,3.918,0.55
2230+114,13628.0,54325.067,8000.0,0.0,3.723,0.117
2230+114,233111.0,54343.98,8000.0,0.0,3.883,0.106
2230+114,221745.0,54344.929,22000.0,0.0,4.34,0.521
2230+114,223043.0,54344.938,22000.0,0.0,3.82,0.462
2230+114,224340.0,54344.947,22000.0,0.0,4.558,0.459
2230+114,225638.0,54344.956,22000.0,0.0,5.093,0.685
2230+114,213140.0,54347.897,5000.0,0.0,4.7,0.159
2230+114,214604.0,54347.907,5000.0,0.0,3.939,0.218
2230+114,215902.0,54347.916,5000.0,0.0,4.372,0.137
2230+114,221159.0,54347.925,5000.0,0.0,4.409,0.134
2230+114,184857.0,54365.784,43000.0,0.0,4.068,0.476
2230+114,192204.0,54365.807,43000.0,0.0,3.958,0.475
2230+114,184857.0,54366.784,43000.0,0.0,3.799,0.461
2230+114,192204.0,54366.807,43000.0,0.0,4.392,0.491
2230+114,212302.0,54371.891,22000.0,0.0,4.798,0.496
2230+114,213559.0,54371.9,22000.0,0.0,4.598,0.503
2230+114,214857.0,54371.909,22000.0,0.0,5.29,0.632
2230+114,211004.0,54373.882,8000.0,0.0,3.962,0.102
2230+114,204536.0,54385.865,22000.0,0.0,5.727,1.043
2230+114,174828.0,54390.742,43000.0,0.0,4.254,0.444
2230+114,182136.0,54390.765,43000.0,0.0,4.5,0.456
2230+114,202945.0,54396.854,5000.0,0.0,4.322,0.107
2230+114,204243.0,54396.863,5000.0,0.0,4.425,0.105
2230+114,185609.0,54420.789,8000.0,0.0,3.832,0.117
2230+114,153140.0,54422.647,43000.0,0.0,3.531,0.468
2230+114,152555.0,54424.643,43000.0,0.0,4.032,0.501
2230+114,173823.0,54435.735,8000.0,0.0,3.887,0.119
2230+114,150252.0,54437.627,43000.0,0.0,3.816,0.638
2230+114,153726.0,54437.651,43000.0,0.0,3.861,0.61
2230+114,160321.0,54455.669,22000.0,0.0,3.848,0.354
2230+114,161745.0,54455.679,22000.0,0.0,3.59,0.337
2230+114,163043.0,54455.688,22000.0,0.0,4.179,0.311
2230+114,164340.0,54455.697,22000.0,0.0,3.953,0.314
2230+114,165512.0,54460.705,22000.0,0.0,4.04,0.247
2230+114,170935.0,54460.715,22000.0,0.0,3.932,0.225
2230+114,120252.0,54478.502,43000.0,0.0,4.715,0.743
2230+114,123852.0,54478.527,43000.0,0.0,3.865,0.578
2230+114,115414.0,54479.496,43000.0,0.0,4.863,0.777
2230+114,122136.0,54479.515,43000.0,0.0,4.531,0.648
2230+114,120252.0,54480.502,43000.0,0.0,3.504,0.543
2230+114,123726.0,54480.526,43000.0,0.0,4.313,0.628
2230+114,102916.0,54506.437,43000.0,0.0,5.175,0.66
2230+114,103628.0,54507.442,43000.0,0.0,4.653,0.636
2230+114,95150.0,54512.411,22000.0,0.0,3.901,0.283
2230+114,100447.0,54512.42,22000.0,0.0,3.902,0.272
2230+114,101745.0,54512.429,22000.0,0.0,4.11,0.322
2230+114,103209.0,54512.439,22000.0,0.0,4.047,0.355
2230+114,111102.0,54513.466,8000.0,0.0,3.855,0.132
2230+114,90419.0,54523.378,43000.0,0.0,3.445,0.447
2230+114,93726.0,54523.401,43000.0,0.0,3.746,0.449
2230+114,63726.0,54556.276,43000.0,0.0,4.327,0.604
2230+114,60252.0,54557.252,43000.0,0.0,3.933,0.473
2230+114,63559.0,54557.275,43000.0,0.0,4.434,0.493
2230+114,92721.0,54561.394,22000.0,0.0,4.932,0.236
2230+114,94019.0,54561.403,22000.0,0.0,4.661,0.233
2230+114,91423.0,54575.385,22000.0,0.0,3.269,0.423
2230+114,112526.0,54576.476,8000.0,0.0,3.969,0.14
2230+114,40321.0,54580.169,43000.0,0.0,4.594,0.483
2230+114,43628.0,54580.192,43000.0,0.0,4.903,0.511
2230+114,40321.0,54581.169,43000.0,0.0,4.675,0.48
2230+114,43628.0,54581.192,43000.0,0.0,4.804,0.489
2230+114,30252.0,54597.127,43000.0,0.0,5.129,0.577
2230+114,33559.0,54597.15,43000.0,0.0,5.532,0.62
2230+114,30419.0,54599.128,43000.0,0.0,4.247,0.802
2230+114,33726.0,54599.151,43000.0,0.0,4.581,0.561
2230+114,72916.0,54604.312,22000.0,0.0,4.356,0.682
2230+114,93140.0,54605.397,8000.0,0.0,4.007,0.478
2230+114,22652.0,54611.102,43000.0,0.0,5.04,0.505
2230+114,22652.0,54612.102,43000.0,0.0,5.295,0.535
2230+114,22652.0,54613.102,43000.0,0.0,5.254,0.532
2230+114,40614.0,54640.171,22000.0,0.0,5.385,0.594
2230+114,42038.0,54640.181,22000.0,0.0,6.002,0.631
2230+114,23238.0,54641.106,8000.0,0.0,4.29,0.157
2230+114,252.0,54642.002,43000.0,0.0,3.629,0.545
2230+114,3307.0,54642.023,43000.0,0.0,5.073,0.711
2230+114,252.0,54643.002,43000.0,0.0,3.972,0.538
2230+114,3726.0,54643.026,43000.0,0.0,5.382,0.679
2230+114,252.0,54644.002,43000.0,0.0,4.443,0.556
2230+114,3559.0,54644.025,43000.0,0.0,4.907,0.638
2230+114,22107.0,54652.098,22000.0,0.0,6.417,0.986
2230+114,23404.0,54652.107,22000.0,0.0,6.805,1.04
2230+114,14633.0,54653.074,8000.0,0.0,4.343,0.154
2230+114,233657.0,54658.984,43000.0,0.0,5.104,0.836
2230+114,233657.0,54659.984,43000.0,0.0,4.97,0.795
2230+114,11159.0,54666.05,22000.0,0.0,5.653,0.546
2230+114,12457.0,54666.059,22000.0,0.0,5.135,0.489
2230+114,11159.0,54667.05,8000.0,0.0,4.473,0.192
2230+114,223628.0,54679.942,43000.0,0.0,5.588,0.592
2230+114,223628.0,54680.942,43000.0,0.0,5.533,0.574
2230+114,223628.0,54681.942,43000.0,0.0,5.45,0.563
2230+114,252.0,54688.002,8000.0,0.0,4.661,0.118
2230+114,203657.0,54708.859,43000.0,0.0,4.168,0.433
2230+114,203657.0,54709.859,43000.0,0.0,4.79,0.58
2230+114,173111.0,54710.73,43000.0,0.0,5.287,0.629
2230+114,203657.0,54710.859,43000.0,0.0,4.535,0.512
2230+114,204409.0,54721.864,22000.0,0.0,5.321,1.076
2230+114,205707.0,54721.873,22000.0,0.0,4.926,0.999
2230+114,222331.0,54722.933,8000.0,0.0,4.381,0.24
2230+114,231102.0,54723.966,5000.0,0.0,4.548,0.157
2230+114,232400.0,54723.975,5000.0,0.0,4.515,0.166
2230+114,174828.0,54743.742,43000.0,0.0,4.248,0.708
2230+114,182136.0,54743.765,43000.0,0.0,4.85,0.742
2230+114,174828.0,54744.742,43000.0,0.0,3.284,0.657
2230+114,182136.0,54744.765,43000.0,0.0,3.62,0.665
2230+114,174955.0,54745.743,43000.0,0.0,4.251,1.207
2230+114,182136.0,54745.765,43000.0,0.0,4.452,0.737
2230+114,174409.0,54777.739,8000.0,0.0,4.61,0.128
2230+114,182302.0,54778.766,22000.0,0.0,5.407,0.642
2230+114,183726.0,54778.776,22000.0,0.0,4.591,0.554
2230+114,150252.0,54779.627,43000.0,0.0,4.402,0.639
2230+114,153559.0,54779.65,43000.0,0.0,3.865,0.562
2230+114,192457.0,54779.809,5000.0,0.0,4.691,0.115
2230+114,193755.0,54779.818,5000.0,0.0,4.62,0.125
2230+114,150419.0,54780.628,43000.0,0.0,3.087,0.563
2230+114,153559.0,54780.65,43000.0,0.0,3.829,0.569
2230+114,153726.0,54781.651,43000.0,0.0,4.193,0.606
2230+114,150252.0,54807.627,43000.0,0.0,4.457,0.622
2230+114,153726.0,54807.651,43000.0,0.0,4.118,0.564
2230+114,153726.0,54808.651,43000.0,0.0,3.971,0.552
2230+114,123726.0,54841.526,43000.0,0.0,3.405,0.617
2230+114,120252.0,54842.502,43000.0,0.0,3.171,0.661
2230+114,123726.0,54842.526,43000.0,0.0,3.043,0.571
2230+114,100321.0,54879.419,43000.0,0.0,2.571,0.455
2230+114,103755.0,54879.443,43000.0,0.0,2.187,0.662
2230+114,115833.0,54911.499,22000.0,0.0,4.037,0.686
2230+114,121131.0,54911.508,22000.0,0.0,3.284,0.566
2230+114,103043.0,54912.438,5000.0,0.0,4.31,0.365
2230+114,104340.0,54912.447,5000.0,0.0,4.141,0.297
2230+114,60252.0,54930.252,43000.0,0.0,5.647,0.598
2230+114,63559.0,54930.275,43000.0,0.0,5.538,0.579
2230+114,85540.0,54951.372,8000.0,0.0,4.667,0.399
2230+114,110935.0,54952.465,22000.0,0.0,4.014,1.135
2230+114,94857.0,54953.409,5000.0,0.0,4.849,0.396
2230+114,100321.0,54953.419,5000.0,0.0,4.882,0.398
2230+114,30252.0,54959.127,43000.0,0.0,5.289,0.62
2230+114,33559.0,54959.15,43000.0,0.0,5.309,0.597
2230+114,30252.0,54961.127,43000.0,0.0,4.998,0.581
2230+114,33559.0,54961.15,43000.0,0.0,5.727,0.654
2230+114,34019.0,55003.153,5000.0,0.0,4.75,0.183
2230+114,35316.0,55003.162,5000.0,0.0,4.68,0.174
2230+114,34145.0,55004.154,8000.0,0.0,5.936,0.891
2230+114,252.0,55009.002,43000.0,0.0,5.882,0.723
2230+114,3559.0,55009.025,43000.0,0.0,6.193,0.718
2230+114,252.0,55010.002,43000.0,0.0,5.162,0.656
2230+114,3559.0,55010.025,43000.0,0.0,5.707,0.659
2230+114,252.0,55011.002,43000.0,0.0,5.269,0.653
2230+114,3559.0,55011.025,43000.0,0.0,5.311,0.624
2230+114,15345.0,55032.079,22000.0,0.0,5.484,0.543
2230+114,20643.0,55032.088,22000.0,0.0,5.474,0.531
2230+114,21814.0,55034.096,5000.0,0.0,5.043,0.272
2230+114,23950.0,55035.111,8000.0,0.0,5.62,0.132
2230+114,12331.0,55063.058,5000.0,0.0,5.328,0.29
2230+114,225052.0,55063.952,8000.0,0.0,5.671,0.193
2230+114,234702.0,55076.991,8000.0,0.0,5.909,0.195
2230+114,215024.0,55098.91,22000.0,0.0,5.52,0.403
2230+114,220447.0,55098.92,22000.0,0.0,5.959,0.403
2230+114,204243.0,55099.863,5000.0,0.0,5.32,0.126
2230+114,205707.0,55099.873,5000.0,0.0,5.344,0.122
2230+114,212302.0,55100.891,8000.0,0.0,6.028,0.093
2230+114,194633.0,55120.824,22000.0,0.0,5.867,2.821
2230+114,200057.0,55120.834,22000.0,0.0,4.668,0.958
2230+114,202652.0,55121.852,5000.0,0.0,5.618,0.141
2230+114,204116.0,55121.862,5000.0,0.0,5.466,0.136
2230+114,204955.0,55122.868,8000.0,0.0,5.536,0.248
2230+114,150419.0,55168.628,43000.0,0.0,4.046,0.645
2230+114,153726.0,55168.651,43000.0,0.0,4.099,0.668
2230+114,141814.0,55208.596,8000.0,0.0,5.929,0.235
2230+114,155609.0,55208.664,22000.0,0.0,4.708,0.293
2230+114,160907.0,55208.673,22000.0,0.0,5.408,0.319
2230+114,120252.0,55209.502,43000.0,0.0,3.799,0.478
2230+114,123852.0,55209.527,43000.0,0.0,4.277,0.645
2230+114,142233.0,55209.599,5000.0,0.0,5.609,0.195
2230+114,143657.0,55209.609,5000.0,0.0,5.498,0.23
2230+114,152012.0,55916.64062,8305.0,56.9929,3.1968,0.1088
2230+114,162223.0,55916.6875,5125.0,56.0421,4.2432,0.0645
2230+114,103005.0,55943.44141,5125.0,35.4832,4.3348,0.0626
2230+114,130840.0,55943.55078,8305.0,55.8464,3.0474,0.0973
2230+114,125104.0,55973.53906,8305.0,55.2452,2.934,0.137
2230+114,153322.0,55973.65234,5125.0,33.3551,4.2649,0.0903
2230+114,113714.0,56002.48438,8305.0,51.6188,3.2966,0.2624
2230+114,131148.0,56002.55078,5125.0,38.2044,4.2104,0.0955
2230+114,83549.0,56033.35938,8305.0,56.4649,3.2255,0.1792
2230+114,110230.0,56033.46094,5125.0,39.4059,4.2124,0.0911
2230+114,82753.0,56037.35547,5125.0,56.0608,3.8963,0.0942
2230+114,74733.0,56068.32812,8305.0,47.7391,3.4403,0.2735
2230+114,82332.0,56096.35156,5125.0,24.2508,4.6583,0.0745
2230+114,191804.0,56140.80469,5125.0,11.7218,4.099,0.0948
2230+114,201933.0,56140.84766,8305.0,22.6964,3.0112,0.1831
2230+114,221824.0,56140.92969,8305.0,42.7579,3.2324,0.1782
2230+114,358.0,56141.00391,8305.0,55.3277,3.0731,0.1518
2230+114,11448.0,56141.05469,8305.0,57.0588,2.9594,0.1182
2230+114,40045.0,56141.16797,8305.0,38.9542,3.1988,0.167
2230+114,170516.0,56175.71484,5125.0,12.5832,3.7636,0.103
2230+114,200533.0,56175.83984,5125.0,43.4877,3.8577,0.0778
2230+114,215556.0,56175.91797,8305.0,55.9552,2.8799,0.1543
2230+114,1232.0,56176.01172,8305.0,51.6966,2.9763,0.1781
2230+114,154557.0,56204.66016,8305.0,18.7809,2.8805,0.1943
2230+114,175256.0,56204.74609,8305.0,40.6143,3.1483,0.217
2230+114,200156.0,56204.83594,5125.0,55.9567,3.9401,0.0373
2230+114,222343.0,56204.93359,5125.0,51.1053,4.1148,0.0373
2230+114,150335.0,56250.62891,8305.0,42.4113,2.2709,0.2829
2230+114,110439.0,56272.46484,5125.0,16.2913,4.5,0.0852
2230+114,132907.0,56272.5625,8305.0,41.1765,2.4862,0.1848
2230+114,163142.0,56272.69141,5125.0,57.1511,4.0679,0.0424
2230+114,193448.0,56272.81641,5125.0,36.8149,4.1135,0.043
2230+114,214210.0,56272.90625,8305.0,14.5268,2.9625,0.232
2230+114,104403.0,56314.44922,8305.0,40.7175,3.5564,0.11
2230+114,113938.0,56315.49219,5125.0,49.5488,4.1739,0.0209
2230+114,60200.0,56394.25781,8305.0,45.9952,4.0429,0.1063
2230+114,55249.0,56395.25,5125.0,45.2546,4.3545,0.0218
2230+114,34440.0,56419.16016,5125.0,40.16,4.0289,0.058
2230+114,34105.0,56420.16016,8305.0,40.2868,4.01,0.1165
2230+114,11101.0,56476.05469,8305.0,50.19,4.0641,0.1037
2230+114,3934.0,56490.03125,5125.0,52.6476,4.626,0.0222
2230+114,233706.0,56490.98828,8305.0,45.5876,4.086,0.1087
2230+114,214204.0,56510.91016,8305.0,40.0902,4.2343,0.1121
2230+114,214817.0,56511.91406,5125.0,41.6053,4.606,0.0604
2230+114,195615.0,56538.83594,5125.0,40.6941,4.5899,0.0486
2230+114,195722.0,56539.83594,8305.0,41.5543,4.0546,0.0988
2230+114,141301.0,56643.59631,5075.0,50.3518,4.3139,0.0236
2230+114,150059.0,56679.6297,8520.0,52.4931,3.3439,0.0306
2230+114,91415.0,56701.38886,8520.0,40.2909,3.3787,0.027
2230+114,103545.0,56701.44546,8520.0,51.6119,3.3234,0.0284
2230+114,94127.0,56702.40774,5075.0,45.0434,4.2801,0.023
2230+114,102344.0,56702.43711,5075.0,50.6778,4.2331,0.0306
2230+114,65638.0,56745.29328,5075.0,45.6556,4.259,0.0513
2230+114,91738.0,56745.38912,5075.0,57.2815,4.0722,0.0353
2230+114,85820.0,57056.3778,5075.0,30.9131,4.3555,0.0319
2230+114,102635.0,57056.43908,5075.0,45.1749,4.3523,0.0376
2230+114,92836.0,57057.3988,8520.0,36.7082,3.6324,0.0341
2230+114,71543.0,57102.30649,8520.0,43.6856,3.7573,0.0296
2230+114,71547.0,57103.30659,5075.0,44.2937,4.3746,0.0237
2230+114,33543.0,57162.15441,5075.0,46.1542,4.3488,0.0549
2230+114,221137.0,57238.93253,24000.0,43.9484,2.6343,0.1242
2230+114,210229.0,57239.88104,5075.0,32.3054,4.5981,0.0564
2230+114,21455.0,57240.09774,8520.0,52.0328,3.6474,0.0331
2230+114,201129.0,57275.84562,5075.0,46.6561,4.3113,0.0314
2230+114,234852.0,57275.99632,8520.0,52.5159,3.7026,0.0203
2230+114,194716.0,57276.83232,24100.0,44.7044,2.9976,0.0732
2230+114,163353.0,57300.69803,24100.0,28.4801,2.5867,0.0926
2230+114,185312.0,57300.79125,5075.0,49.3289,4.3711,0.0443
2230+114,214022.0,57300.90709,8520.0,55.2212,3.5909,0.0407
2230+114,194745.0,57336.82886,8520.0,52.6519,3.4144,0.0195
2230+114,170904.0,57337.71843,24100.0,53.965,3.2183,0.1014
2230+114,175936.0,57370.75377,8520.0,49.7241,3.3891,0.0204
2230+114,123849.0,57371.53477,24100.0,36.0291,3.2009,0.0905
2230+114,145151.0,57371.62363,5075.0,53.554,4.2156,0.0684
2230+114,162700.0,57400.68946,8520.0,46.3455,3.3518,0.02
2230+114,125659.0,57433.54362,8520.0,55.2505,3.251,0.0807
2230+114,152138.0,57433.64407,8520.0,36.3494,3.0662,0.1815
2230+114,103830.0,57468.44743,8520.0,55.3146,3.3308,0.0206
2230+114,93945.0,57469.40697,5075.0,57.2905,4.0947,0.0437
2230+114,94509.0,57498.41007,8520.0,48.6572,3.3458,0.0271
2230+114,23409.0,57499.11454,24100.0,18.2296,2.5062,0.1184
2230+114,31525.0,57526.14318,24100.0,43.2994,2.8963,0.0873
2230+114,72715.0,57526.31447,5075.0,52.0669,4.157,0.0495
2230+114,90513.0,57526.38234,8520.0,38.2048,3.4235,0.0282
2230+114,231946.0,57559.97955,24100.0,26.3079,2.4075,0.1072
2230+114,23540.0,57560.11199,5075.0,54.1504,4.1179,0.0591
2230+114,41900.0,57560.18357,8520.0,56.4202,3.3652,0.034
2230+114,211750.0,57581.89487,24100.0,20.0139,1.8938,0.1355
2230+114,230810.0,57581.96789,5075.0,37.9523,4.0478,0.0374
2230+114,10425.0,57582.04844,8520.0,53.7527,3.3887,0.0236
2230+114,31342.0,57582.13822,8520.0,55.1049,3.4101,0.0234
2230+114,52323.0,57582.22829,8520.0,38.4806,3.347,0.1129
2230+114,115642.0,57720.50144,5075.0,16.1553,3.9454,0.0457
2230+114,152134.0,57720.64371,5075.0,49.6854,4.0848,0.0498
2230+114,160447.0,57737.67728,24100.0,57.2641,3.4976,0.0839
2230+114,212505.0,57737.89973,24100.0,13.8978,3.1378,0.2068
2230+114,102106.0,57738.43495,8520.0,11.8374,3.5565,0.065
2230+114,140503.0,57738.59057,5075.0,48.964,3.942,0.0392
2230+114,170209.0,57738.71356,5075.0,54.7269,3.7522,0.0596
2230+114,135359.0,57739.5829,5075.0,48.025,3.8047,0.0307
2230+114,124354.0,57778.53685,24100.0,56.4886,3.5693,0.0623
2230+114,163227.0,57778.69283,8520.0,37.9071,3.6565,0.0254
2230+114,80235.0,57812.33788,5075.0,38.1226,4.0341,0.057
2230+114,65836.0,57837.29705,24100.0,44.5362,2.7152,0.0732
2230+114,111041.0,57837.46938,8520.0,50.8741,3.4452,0.0287
2230+114,82051.0,57875.35145,8520.0,53.102,3.5639,0.0234
2230+114,71426.0,57920.30532,8520.0,37.8787,3.7362,0.0239
2230+114,11801.0,57921.06053,24100.0,42.9914,2.5678,0.1186
2230+114,34258.0,57921.15759,5075.0,57.029,4.2065,0.219
2230+114,223258.0,57946.94592,24100.0,32.7694,2.5348,0.1182
2230+114,32430.0,57947.14565,8520.0,54.3372,3.529,0.0211
2230+114,61305.0,57947.26272,8520.0,30.3137,3.5994,0.0264
2230+114,201527.0,57981.85043,24100.0,32.7876,2.5175,0.1126
2230+114,31933.0,57982.14221,8520.0,36.4202,3.4671,0.0222
2230+114,1852.0,58013.01674,8520.0,45.6192,3.4145,0.0737
2230+114,180810.0,58013.76202,24100.0,32.5387,2.9714,0.1719
2230+114,172037.0,58042.72901,22664.0,43.3526,3.3404,0.0604
2230+114,102405.0,58159.43975,24100.0,49.442,4.4357,0.0966
2230+114,133650.0,58159.57087,8520.0,53.4597,3.5777,0.0212
2230+114,54825.0,58224.24831,24100.0,46.7416,3.7563,0.1094
2230+114,100436.0,58224.4235,8520.0,48.4576,3.9395,0.0273
2230+114,44355.0,58254.20351,24100.0,53.1932,3.3248,0.1247
2230+114,55048.0,58254.24996,24100.0,57.2058,3.3934,0.1274
2230+114,80431.0,58254.3401,8520.0,48.7463,3.9035,0.0217
2230+114,30814.0,58290.13435,8520.0,56.324,3.8271,0.0442
2230+114,203833.0,58323.86285,4835.0,22.397,4.2393,0.035
2230+114,4326.0,58325.03291,4835.0,63.8409,4.2687,0.041
2230+114,64514.0,58325.28366,4835.0,13.3057,4.0153,0.07
2230+114,161953.0,58382.68273,4835.0,16.9021,4.0615,0.0741
2230+114,232704.0,58382.98076,8520.0,50.0381,3.3044,0.0297
2230+114,194403.0,58383.82862,24100.0,49.9968,3.8868,0.4458
2230+114,174923.0,58403.74898,24100.0,45.1218,2.8411,0.1118
2230+114,215152.0,58406.91465,8520.0,50.1413,3.2582,0.023
2230+114,145250.0,58435.6264,24100.0,37.2068,2.7669,0.1039
2230+114,141119.0,58467.59284,24100.0,48.8305,3.4025,0.0884
2230+114,143319.0,58467.60817,8520.0,51.4204,3.1461,0.0259
2230+114,95442.0,58532.41464,24100.0,48.695,3.0033,0.089
2230+114,102944.0,58532.43901,8520.0,52.7188,3.1724,0.0254
2230+114,81705.0,58557.34685,24100.0,48.7786,3.3387,0.0805
2230+114,84349.0,58557.36546,8520.0,51.9072,3.1801,0.0307
2230+114,62512.0,58589.26915,24100.0,50.5162,3.4872,0.0977
2230+114,64723.0,58589.28461,8520.0,52.8987,3.3033,0.0312
2230+114,34917.0,58659.16088,24100.0,57.1204,3.263,0.1464
2230+114,44711.0,58659.20114,8305.0,53.6983,3.6423,0.0682
2230+114,20132.0,58688.08605,24100.0,56.9511,3.175,0.1303
2230+114,25610.0,58688.12403,8305.0,53.4181,3.4579,0.0559
2230+114,3745.0,58710.02786,24100.0,56.8632,3.3669,0.1369
2230+114,13032.0,58710.06457,8520.0,53.3357,3.4813,0.0296
2230+114,212759.0,58757.89608,24100.0,56.8986,3.5468,0.1373
2230+114,222650.0,58757.937,8520.0,52.8357,3.5676,0.0841
2230+114,201528.0,58776.84572,24100.0,56.8223,3.4795,0.1403
2230+114,210902.0,58776.88297,8305.0,53.1472,3.4563,0.0416
2230+114,180648.0,58808.75637,24100.0,56.9215,3.3846,0.1925
2230+114,190515.0,58808.79701,8305.0,52.9437,3.5953,0.0328
2230+114,133544.0,58908.56796,6075.0,49.181,3.964,0.0142
2230+114,151415.0,58908.6362,23840.0,31.5022,3.2279,0.0184
2230+114,94220.0,58960.40588,6075.0,53.7,3.8364,0.0274
2230+114,3323.0,59073.02483,24100.0,57.2142,2.1256,0.1626
2230+114,12519.0,59073.06094,8305.0,54.6056,3.1866,0.0438
2230+114,224800.0,59103.95165,24100.0,56.7521,2.0257,0.1168
2230+114,233403.0,59103.98368,8305.0,53.671,3.0534,0.0545
2230+114,205551.0,59130.87377,24100.0,56.9621,2.0532,0.0855
2230+114,215448.0,59130.91476,8305.0,53.001,3.1417,0.036
2230+114,193016.0,59164.81439,8305.0,54.032,3.0123,0.0416
2230+114,181948.0,59174.7654,24100.0,56.2258,2.1927,0.0705
2230+114,195544.0,59174.83203,24100.0,46.2852,2.1294,0.0935
2230+114,162746.0,59197.68759,24100.0,57.0918,2.4107,0.0977
2230+114,172903.0,59197.7302,8305.0,53.2308,2.872,0.0338
2230+114,142827.0,59230.60474,24100.0,56.7587,2.5186,0.0869
2230+114,170359.0,59230.7128,8305.0,39.0132,2.7131,0.0337
2230+114,121956.0,59261.51549,24100.0,56.9956,2.6482,0.1068
2230+114,132544.0,59261.56123,8305.0,52.377,2.7758,0.0378
2230+114,151420.0,59261.63666,8305.0,37.0109,2.8214,0.0467
2230+114,111500.0,59292.47045,8305.0,53.2791,2.6792,0.0364
2230+114,102133.0,59297.43329,24100.0,55.934,2.8941,0.1043
2230+114,110006.0,59297.4601,8305.0,52.8032,2.856,0.0384
2230+114,61743.0,59354.26395,24100.0,56.8834,3.5595,0.1285
2230+114,71009.0,59354.30041,8305.0,53.3871,2.9068,0.0448
2230+114,24441.0,59391.11601,24100.0,56.064,4.0332,0.1068
2230+114,41621.0,59391.17967,24100.0,55.6528,3.7266,0.1072
2230+114,44300.0,59391.19822,8305.0,53.5518,2.8864,0.0696
2230+114,21430.0,59416.09505,24100.0,56.8575,3.9147,0.2307
2230+114,30004.0,59416.12675,8305.0,53.9815,3.075,0.0399
2230+114,234105.0,59455.98851,24100.0,56.7105,3.8516,0.1976
2230+114,2900.0,59456.02183,8305.0,53.4064,3.0348,0.0378
2230+114,215622.0,59481.91579,24100.0,56.8148,4.4086,0.204
2230+114,225227.0,59481.95479,8305.0,52.8425,3.1116,0.04
2230+114,201743.0,59506.84729,24100.0,56.8245,4.2011,0.1864
2230+114,210729.0,59506.8819,8305.0,53.5022,3.2821,0.0409
2230+114,172526.0,59547.72765,24100.0,57.152,4.5709,0.1223
2230+114,182458.0,59547.76904,8305.0,53.6259,3.2218,0.0478
2230+114,161606.0,59568.67951,24100.0,56.7407,4.8456,0.1435
2230+114,170624.0,59568.71447,8305.0,53.2411,3.3242,0.0412
2230+114,144027.0,59593.61308,24100.0,56.6276,5.1975,0.127
2230+114,144027.0,59593.61308,24100.0,56.6276,5.1975,0.127
2230+114,152122.0,59593.64154,8305.0,53.8781,3.3543,0.0514
2230+114,152122.0,59593.64154,8305.0,53.8781,3.3543,0.0514
2230+114,171001.0,59593.71699,8305.0,39.475,3.4694,0.061
2230+114,171001.0,59593.71699,8305.0,39.475,3.4694,0.061
2230+114,115616.0,59632.49906,24100.0,57.0285,5.5006,0.1327
2230+114,125853.0,59632.54259,8305.0,52.8254,3.2402,0.0485
2230+114,100318.0,59662.42061,24100.0,56.866,6.102,0.1498
2230+114,105301.0,59662.45518,8305.0,53.6035,3.8612,0.0474
2230+114,83553.0,59689.3599,24100.0,55.963,6.0404,0.1752
